site,collection_date,YYYYMMDD,quadrat,plant,rhi_length,node1,node2,node3,node4,node5,leaf_length1,leaf_length2,leaf_length3,leaf_length4,leaf_length5,leaf_length6,leaf_length7,leaf_length8,leaf_length9,leaf_length10,leaf_width1,leaf_width2,leaf_width3,leaf_width4,leaf_width5,leaf_width6,leaf_width7,leaf_width8,leaf_width9,leaf_width10,eff_leaf_area1,eff_leaf_area2,eff_leaf_area3,eff_leaf_area4,eff_leaf_area5,eff_leaf_area6,eff_leaf_area7,eff_leaf_area8,eff_leaf_area9,eff_leaf_area10,tot_leaf_area_cmsq,pad_mass_g,pad_epihpyte_mass_g,epiphyte_mass_g,epi_mg_shoot_g,epi_mg_shoot_sqcm,rhi_mass_fw,rhi_foil,rhi_foil_dw_g,rhi_dw_g,root_per_moisture,shoot_mass_fw,shoot_foil,shoot_foil_dw,shoot_dw,shoot_per_moisture,xs_shoot_mass_fw,xs_shoot_foil,xs_shoot_foil_dw,xs_shoot_mass,xs_pad_mass_g,xs_epiphyte_pad_mass_g,xs_epiphyte_mass_g,iso_count,iso_fw,iso_foil,iso_foil_dw,iso_dw,gamm_amph_count,gamm_amph_fw,gamm_amph_foil,gamm_amph_foil_dw,gamm_amph_dw,caprel_count,caprel_fw,caprel_foil,caprel_foil_dw,caprel_dw,limpet_count,limpet_fw,limpet_foil,limpet_foil_dw,limpet_dw,gastropod_count,gastropod_fw,gastropod_foil,gastropod_foil_dw,gastropod_dw,crab_count,crab_fw,crab_foil,crab_foil_dw,crab_dw,polychaete_count,other_animal_notes,notes
2017_L_01,29/4/17,20170429,3,1,0.9,0.5,,,,,18.4,16.7,13,12.5,21.5,,,,,,0.3,0.2,0.2,0.3,0.2,,,,,,11.04,6.68,5.2,7.5,8.6,0,0,0,0,0,39.02,0.5556,0.5659,0.0103,,0.263967196,0.0658,0.7789,0.7881,0.0092,86.01823708,0.4046,0.6026,0.6655,0.0629,84.45378151,0.5848,0.6217,0.6935,0.0718,,,,0,,,,0,0,,,,0,0,,,,0,1,0.0091,0.5676,0.5689,0.0013,,limpet = Lottia parallela,,,0,,,,,,4,,
2017_L_01,29/4/17,20170429,3,2,3.0,0.4,0.3,0.3,0.2,0.2,5.7,12.2,11.6,4.5,15,20.9,,,,,0.2,0.2,0.3,0.2,0.2,0.2,,,,,2.28,4.88,6.96,1.8,6,8.36,0,0,0,0,30.28,0.5846,0.5931,0.0085,,0.280713342,0.1565,0.6616,0.6903,0.0287,81.66134185,0.2902,0.638,0.684,0.046,84.14886285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_L_01,29/4/17,20170429,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,#DIV/0!,,,,0,#DIV/0!,,,,0,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_L_01,29/4/17,20170429,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,#DIV/0!,,,,0,#DIV/0!,,,,0,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_L_01,29/4/17,20170429,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,#DIV/0!,,,,0,#DIV/0!,,,,0,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_L_01,29/4/17,20170429,4,1,5.0,1.4,2,1.3,0.6,,35,26.5,11.2,34.6,15.2,,,,,,0.3,0.4,0.4,0.3,0.3,,,,,,21,21.2,8.96,20.76,9.12,0,0,0,0,0,81.04,0.5665,0.5748,0.0083,,0.102418559,0.5084,0.6572,0.7423,0.0851,83.26121164,0.7769,0.5496,0.6818,0.1322,82.98365298,2.0924,0.5642,0.8918,0.3276,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,,,,,0,,,,,,1,,
2017_L_01,29/4/17,20170429,4,2,1.3,0.5,0.4,,,,29.4,19.9,18.1,30,,,,,,,0.2,0.2,0.3,0.3,,,,,,,11.76,7.96,10.86,18,0,0,0,0,0,0,48.58,0.5559,0.5655,0.0096,,0.197612186,0.0741,0.7016,0.711,0.0094,87.31443995,0.4834,0.512,0.5837,0.0717,85.16756309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_L_01,29/4/17,20170429,4,3,2.1,1,0.4,,,,25.5,14.3,24.2,16.7,,,,,,,0.3,0.3,0.3,0.2,,,,,,,15.3,8.58,14.52,6.68,0,0,0,0,0,0,45.08,0.5072,0.5164,0.0092,,0.204081633,0.1747,0.7404,0.7633,0.0229,86.89181454,0.4048,0.6449,0.7055,0.0606,85.02964427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_L_01,29/4/17,20170429,4,4,1.5,0.3,0.3,,,,20,25.1,14.9,9.7,,,,,,,0.2,0.3,0.2,0.1,,,,,,,8,15.06,5.96,1.94,0,0,0,0,0,0,30.96,0.5553,0.5633,0.008,,0.258397933,0.0838,0.6248,0.6378,0.013,84.48687351,0.2999,0.6323,0.68,0.0477,84.09469823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_L_01,29/4/17,20170429,4,5,1.4,0.3,0.5,0.3,,,24.7,24.1,27.7,,,,,,,,0.2,0.2,0.2,,,,,,,,9.88,9.64,11.08,0,0,0,0,0,0,0,30.6,0.538,0.54,0.002,,0.065359477,0.0565,0.6283,0.638,0.0097,82.83185841,0.2242,0.5204,0.5604,0.04,82.1587868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_L_01,29/4/17,20170429,5,1,1.0,0.5,0.2,0.1,,,14.5,14.4,7.6,,,,,,,,0.2,0.2,0.2,,,,,,,,5.8,5.76,3.04,0,0,0,0,0,0,0,14.6,0.5754,0.584,0.0086,,0.589041096,0.0544,0.7356,0.7431,0.0075,86.21323529,0.1114,0.5708,0.5897,0.0189,83.03411131,0.3081,0.7322,0.7714,0.0392,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,,,,,0,,,,,,6,,
2017_L_01,29/4/17,20170429,5,2,1.4,0.4,0.1,,,,18,19.2,16.9,13.2,10.6,,,,,,0.2,0.1,0.1,0.1,0.2,,,,,,7.2,3.84,3.38,2.64,4.24,0,0,0,0,0,21.3,0.4728,0.4814,0.0086,,0.403755869,0.0514,0.7008,0.7089,0.0081,84.24124514,0.2516,0.6199,0.6646,0.0447,82.23370429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_L_01,29/4/17,20170429,5,3,5.0,0.3,0.1,0.1,0.1,0.2,11.2,18.4,14.3,16.2,,,,,,,0.2,0.2,0.1,0.2,,,,,,,4.48,7.36,2.86,6.48,0,0,0,0,0,0,21.18,0.5798,0.5894,0.0096,,0.45325779,0.2189,0.7257,0.7599,0.0342,84.37642759,0.1862,0.5452,0.5734,0.0282,84.85499463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_L_01,29/4/17,20170429,5,4,2.2,0.5,0.6,,,,25.1,23,20,15,23.4,9.5,,,,,0.3,0.3,0.2,0.3,0.2,0.3,,,,,15.06,13.8,8,9,9.36,5.7,0,0,0,0,60.92,0.5762,0.5853,0.0091,,0.149376231,0.1838,0.6999,0.7267,0.0268,85.41893362,0.573,0.7514,0.8599,0.1085,81.06457243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_L_01,29/4/17,20170429,5,5,1.5,0.8,0.3,,,,19,16.3,21.5,17.3,10.6,,,,,,0.3,0.2,0.2,0.2,0.2,,,,,,11.4,6.52,8.6,6.92,4.24,0,0,0,0,0,37.68,0.5748,0.5843,0.0095,,0.252123142,0.1251,0.7967,0.8214,0.0247,80.25579536,0.336,0.5506,0.6033,0.0527,84.31547619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_L_01,29/4/17,20170429,6,1,5.0,1,0.5,0.5,0.3,0.2,20.2,27.2,13,26.5,8,16.1,,,,,0.2,0.3,0.2,0.2,0.2,0.2,,,,,8.08,16.32,5.2,10.6,3.2,6.44,0,0,0,0,49.84,0.5722,0.5781,0.0059,,0.118378812,0.3854,0.7153,0.7848,0.0695,81.96678775,0.4906,0.5073,0.5907,0.0834,83.00040766,1.1174,0.6296,0.7905,0.1609,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,,,,,0,,,,,,5,,
2017_L_01,29/4/17,20170429,6,2,2.5,0.5,0.4,0.2,0.1,,24.6,9.6,18.6,23.2,17.6,,,,,,0.2,0.3,0.2,0.2,0.2,,,,,,9.84,5.76,7.44,9.28,7.04,0,0,0,0,0,39.36,0.5437,0.551,0.0073,,0.18546748,0.1942,0.8555,0.884,0.0285,85.32440783,0.3225,0.4336,0.4864,0.0528,83.62790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_L_01,29/4/17,20170429,6,3,2.2,0.6,0.4,0.3,0.2,0.1,27.5,13.5,24.2,21.3,,,,,,,0.2,0.2,0.2,0.2,,,,,,,11,5.4,9.68,8.52,0,0,0,0,0,0,34.6,0.4765,0.4826,0.0061,,0.176300578,0.1405,0.7681,0.7872,0.0191,86.40569395,0.3563,0.4516,0.5076,0.056,84.28290766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_L_01,29/4/17,20170429,6,4,2.1,0.2,0.2,0.2,0.2,0.2,11.3,12.6,12.1,4.3,,,,,,,0.2,0.2,0.2,0.2,,,,,,,4.52,5.04,4.84,1.72,0,0,0,0,0,0,16.12,0.5978,0.6039,0.0061,,0.378411911,0.116,0.708,0.7266,0.0186,83.96551724,0.1562,0.4845,0.5089,0.0244,84.37900128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_L_01,29/4/17,20170429,6,5,1.7,0.2,0.4,0.2,,,6.5,17,9.6,,,,,,,,0.2,0.2,0.2,,,,,,,,2.6,6.8,3.84,0,0,0,0,0,0,0,13.24,0.5716,0.5787,0.0071,,0.536253776,0.0403,0.7441,0.7502,0.0061,84.86352357,0.0905,0.4864,0.4986,0.0122,86.51933702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_L_01,29/4/17,20170429,7,1,0.9,0.5,,,,,14.9,10.1,13.3,10.2,,,,,,,0.2,0.2,0.2,0.2,,,,,,,5.96,4.04,5.32,4.08,0,0,0,0,0,0,19.4,0.5607,0.566,0.0053,,0.273195876,0.0353,0.72,0.7251,0.0051,85.55240793,0.1576,0.5592,0.5867,0.0275,82.55076142,1.4462,0.7128,0.922,0.2092,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,,,,,0,,,,,,2,,
2017_L_01,29/4/17,20170429,7,2,1.0,0.2,0.2,0.1,,,4.4,15.6,13.1,20.5,,,,,,,0.2,0.2,0.2,0.2,,,,,,,1.76,6.24,5.24,8.2,0,0,0,0,0,0,21.44,0.5186,0.524,0.0054,,0.251865672,0.0743,0.6747,0.6868,0.0121,83.71467026,0.2133,0.5692,0.6033,0.0341,84.01312705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_L_01,29/4/17,20170429,7,3,3.0,1,0.5,0.4,0.3,,22.4,22.1,10.5,24.8,,,,,,,0.1,0.3,0.3,0.3,,,,,,,4.48,13.26,6.3,14.88,0,0,0,0,0,0,38.92,0.5202,0.5286,0.0084,,0.215827338,0.1733,0.7145,0.7414,0.0269,84.47778419,0.4111,0.5716,0.6415,0.0699,82.99683775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_L_01,29/4/17,20170429,7,4,2.0,0.5,0.3,0.3,,,11,15.5,12.9,15.8,20.5,,,,,,0.3,0.2,0.2,0.2,0.3,,,,,,6.6,6.2,5.16,6.32,12.3,0,0,0,0,0,36.58,0.4851,0.4925,0.0074,,0.202296337,0.2463,0.7391,0.7774,0.0383,84.4498579,0.4432,0.5953,0.6667,0.0714,83.8898917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_L_01,29/4/17,20170429,7,5,4.0,0.5,0.4,0.2,0.1,0.1,16.5,25,17.7,14.5,,,,,,,0.2,0.2,0.2,0.3,,,,,,,6.6,10,7.08,8.7,0,0,0,0,0,0,32.38,0.5153,0.5217,0.0064,,0.197652872,0.1542,0.7153,0.7394,0.0241,84.37094682,0.2983,0.4829,0.5294,0.0465,84.41166611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_L_01,29/4/17,20170429,8,1,2.7,0.2,0.2,0.3,0.2,0.2,13.9,10.1,14,5.2,,,,,,,0.2,0.2,0.2,0.2,,,,,,,5.56,4.04,5.6,2.08,0,0,0,0,0,0,17.28,0.569,0.5749,0.0059,,0.341435185,0.1723,0.7677,0.7866,0.0189,89.0307603,0.1102,0.7235,0.7436,0.0201,81.76043557,0.0243,0.7275,0.7305,0.003,,,,0,,,,0,,,,,0,,,,,0,0,,,,0,,,,,0,,,,,,6,,
2017_L_01,29/4/17,20170429,8,2,2.8,0.2,0.2,0.1,0.1,,12,15.5,,,,,,,,,0.1,0.1,,,,,,,,,2.4,3.1,0,0,0,0,0,0,0,0,5.5,0.5045,0.5105,0.006,,1.090909091,0.1376,0.7662,0.7863,0.0201,85.39244186,0.0814,0.5917,0.6058,0.0141,82.67813268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_L_01,29/4/17,20170429,8,3,2.9,0.2,0.2,0.1,0.1,0.1,13.5,18.1,15.3,11,,,,,,,0.2,0.2,0.2,0.2,,,,,,,5.4,7.24,6.12,4.4,0,0,0,0,0,0,23.16,0.5619,0.568,0.0061,,0.263385147,0.2393,0.8165,0.8547,0.0382,84.03677392,0.2511,0.6517,0.6942,0.0425,83.07447232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_L_01,29/4/17,20170429,8,4,2.1,0.6,0.5,0.3,0.2,,9,23.2,22.9,15.1,5.4,22,,,,,0.2,0.2,0.1,0.2,,,,,,,3.6,9.28,4.58,6.04,0,0,0,0,0,0,23.5,0.5282,0.5351,0.0069,,0.293617021,0.2526,0.7099,0.7378,0.0279,88.95486936,0.4114,0.5864,0.6533,0.0669,83.73845406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_L_01,29/4/17,20170429,8,5,5.0,0.3,0.2,0.1,0.1,0.2,16,11.1,15.4,12,,,,,,,0.1,0.1,0.2,0.2,,,,,,,3.2,2.22,6.16,4.8,0,0,0,0,0,0,16.38,0.5445,0.551,0.0065,,0.396825397,0.3404,0.7255,0.7666,0.0411,87.92596945,0.1714,0.4687,0.5023,0.0336,80.39673279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,1,1,5.0,0.5,0.4,0.3,0.2,0.2,22.1,18.9,14.5,6.4,13.3,,,,,,0.3,0.2,0.2,0.2,0.2,,,,,,13.26,7.56,5.8,2.56,5.32,0,0,0,0,0,34.5,0.543,0.5491,0.0061,,0.176811594,0.2266,0.6581,0.6838,0.0257,88.65842895,0.2687,0.9048,0.9438,0.039,85.48567175,4.7732,0.7891,1.3804,0.5913,,,,,,,,0,3,0.0059,0.4953,0.4972,0.0019,,,,,0,,,,,0,,,,,0,,,,,,6,,
2017_H_01,29/4/17,20170429,1,2,5.0,0.7,0.4,0.3,0.3,0.3,25.2,17.6,22,14.9,8,3.6,,,,,0.3,0.3,0.3,0.3,0.3,0.2,,,,,15.12,10.56,13.2,8.94,4.8,1.44,0,0,0,0,54.06,0.5292,0.5301,0.0009,,0.016648169,0.4884,0.4273,0.4781,0.0508,89.5986896,0.4123,0.7284,0.7913,0.0629,84.74411836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,1,3,5.0,0.3,0.3,0.4,0.3,0.2,16.4,9.8,14.1,9.4,,,,,,,0.3,0.2,0.2,0.2,,,,,,,9.84,3.92,5.64,3.76,0,0,0,0,0,0,23.16,0.5365,0.5428,0.0063,,0.272020725,0.3458,0.45,0.4897,0.0397,88.51937536,0.1652,0.7582,0.7829,0.0247,85.04842615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,1,4,4.6,0.4,0.4,0.3,0.4,0.2,21,18,8.5,17,16.5,,,,,,0.3,0.2,0.2,0.2,0.2,,,,,,12.6,7.2,3.4,6.8,6.6,0,0,0,0,0,36.6,0.4913,0.4937,0.0024,,0.06557377,0.3971,0.3757,0.4109,0.0352,91.13573407,0.321,0.6111,0.66,0.0489,84.76635514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,1,5,5.0,0.2,0.2,0.3,0.2,0.3,13,13.6,9.6,,,,,,,,0.2,0.2,0.2,,,,,,,,5.2,5.44,3.84,0,0,0,0,0,0,0,14.48,0.5918,0.5961,0.0043,,0.296961326,0.4551,0.5497,0.5861,0.0364,92.00175786,0.1163,0.7077,0.7244,0.0167,85.64058469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,2,1,4.6,1.2,0.6,0.4,0.3,0.3,32.4,22.1,25,27.3,12.4,9.2,6,,,,0.4,0.4,0.4,0.4,0.2,0.2,,,,,25.92,17.68,20,21.84,4.96,3.68,0,0,0,0,94.08,0.5382,0.5432,0.005,,0.053146259,0.8057,0.4028,0.4746,0.0718,91.08849448,0.8043,0.5844,0.733,0.1486,81.52430685,1.5161,0.9426,1.1118,0.1692,,,,,,,,0,21,0.036,0.4771,0.4819,0.0048,,,,,0,,,,,0,,,,,0,,,,,,7,,1 clam
2017_H_01,29/4/17,20170429,2,2,4.0,0.3,0.3,0.2,0.2,0.2,23,12.3,16.1,90.3,15.5,,,,,,0.2,0.2,0.2,0.2,0.3,,,,,,9.2,4.92,6.44,36.12,9.3,0,0,0,0,0,65.98,0.5878,0.5943,0.0065,,0.098514701,0.335,0.2876,0.3297,0.0421,87.43283582,0.2922,0.6784,0.7203,0.0419,85.6605065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,2,3,5.0,0.3,0.2,0.2,0.2,0.3,16.5,21.1,22.7,8.7,15.5,,,,,,0.2,0.2,0.2,0.2,0.3,,,,,,6.6,8.44,9.08,3.48,9.3,0,0,0,0,0,36.9,0.5656,0.572,0.0064,,0.173441734,0.3151,0.3837,0.4215,0.0378,88.00380831,0.3015,0.6553,0.698,0.0427,85.83747927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,2,4,5.0,0.5,0.6,0.4,0.3,0.2,26,21.1,20.2,10.2,17.5,,,,,,0.3,0.2,0.3,0.3,0.2,,,,,,15.6,8.44,12.12,6.12,7,0,0,0,0,0,49.28,0.5224,0.5295,0.0071,,0.144074675,0.4294,0.3945,0.4444,0.0499,88.37913367,0.3661,0.6856,0.7424,0.0568,84.48511336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,2,5,3.6,0.4,0.6,0.4,0.2,0.2,26.5,17.1,25.7,11.3,22.7,,,,,,0.4,0.3,0.3,0.3,0.4,,,,,,21.2,10.26,15.42,6.78,18.16,0,0,0,0,0,71.82,0.5057,0.5127,0.007,,0.097465887,0.4352,0.587,0.6552,0.0682,84.32904412,0.5658,0.7684,0.8559,0.0875,84.53517144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,3,1,3.0,0.4,0.3,0.2,0.2,0.3,13.4,3.9,5.4,9.6,8.9,4.4,,,,,0.2,0.2,0.2,0.2,0.2,0.2,,,,,5.36,1.56,2.16,3.84,3.56,1.76,0,0,0,0,18.24,0.598,0.607,0.009,,0.493421053,0.2338,0.5223,0.5463,0.024,89.73481608,0.1033,0.7167,0.7331,0.0164,84.12391094,1.3837,0.8513,1.0251,0.1738,,,,,,,,0,4,0.0152,0.573,0.5749,0.0019,1,0.0086,0.4793,0.4809,0.0016,1,0.0064,0.6405,0.6425,0.002,,,,,0,,,,,,,,
2017_H_01,29/4/17,20170429,3,2,5.0,0.5,0.6,0.4,0.4,0.2,22.7,21.7,11.5,26.8,15,,,,,,0.3,0.3,0.3,0.3,0.2,,,,,,13.62,13.02,6.9,16.08,6,0,0,0,0,0,55.62,0.5438,0.5498,0.006,,0.107874865,0.3512,0.5118,0.556,0.0442,87.41457859,0.4314,0.5826,0.6447,0.0621,85.60500695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_01,29/4/17,20170429,3,3,5.0,0.4,0.4,0.3,0.2,0.2,19.7,15.1,22.8,6.6,14.9,,,,,,0.2,0.2,0.3,0.2,0.2,,,,,,7.88,6.04,13.68,2.64,5.96,0,0,0,0,0,36.2,0.6123,0.6215,0.0092,,0.254143646,0.3372,0.4792,0.5157,0.0365,89.17556346,0.2744,0.6777,0.7192,0.0415,84.87609329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
